原字段,en,ja,ar,de,es,fr,pt,th,vi,zh-TW,,,,,,,,,
Touch the Pumpkin Lantern: What Future Awaits Inside?,Touch the Pumpkin Lantern: What Future Awaits Inside?,かぼちゃのランタンに触れる:中にはどんな未来が待っているのか?,المس فانوس اليقطين: ما المستقبل الذي ينتظر في الداخل ؟,Berühren Sie die Kürbislaterne: Was Zukunft erwartet Sie drinnen?,Toca la linterna de calabaza: ¿qué futuro espera en el interior?,Touchez la lanterne citrouille : quel avenir vous attend à l'intérieur?,Toque a lanterna de abóbora: que futuro espera por dentro?,สัมผัสโคมไฟฟักทอง: อนาคตอะไรรออยู่ข้างใน?,Chạm  đèn lồng bí ngô: Tương lai nào đang chờ đợi bên trong?,觸摸南瓜燈：裏面等待着什麼未來？,,,,,,,,,
"On Halloween Night, What Power of Fate Will You Summon?","On Halloween Night, What Power of Fate Will You Summon?",ハロウィンの夜、あなたはどんな運命の力を召喚しますか?,في ليلة الهالوين ، ما هي قوة القدر التي ستستدعيها ؟,"In der Halloween-Nacht, Was Macht des Schicksals wirst du beschwören?","En la Noche de Halloween, ¿Qué Poder del Destino Invocarás?","Le soir d'Halloween, quel pouvoir du destin invoquerez-vous?","Na Noite De Halloween, Que Poder Do Destino Você Invocará?",ในคืนฮาโลวีน คุณจะเรียกพลังแห่งโชคชะตาอะไร?," đêm Halloween, bạn sẽ triệu hồi sức  của số phận nào?",萬聖節之夜，你將召喚什麼命運的力量？,,,,,,,,,
Halloween Kiss Test: Will You Kiss a Prince or a Monster?,Halloween Kiss Test: Will You Kiss a Prince or a Monster?,ハロウィンのキステスト:王子とモンスターのどちらにキスしますか?,اختبار قبلة الهالوين: هل ستقبل أميرًا أم وحشًا ؟,Halloween-Kuss-Test: Wirst du einen Prinzen oder ein Monster küssen?,Prueba de besos de Halloween: ¿Besarás a un príncipe o a un monstruo?,Halloween Kiss Test : Embrasserez-vous un prince ou un monstre?,Halloween Kiss Test: Você vai beijar um príncipe ou um monstro?,การทดสอบจูบฮาโลวีน: คุณจะจูบเจ้าชายหรือสัตว์ประหลาดหรือไม่?,Bài kiểm tra nụ hôn Halloween: Bạn sẽ hôn một hoàng tử hay một con quái vật?,萬聖節親吻測試：你會親吻王子還是怪物？,,,,,,,,,
Which Character Will You Be on Halloween?,Which Character Will You Be on Halloween?,あなたはハロウィンにどのキャラクターになりますか?,أي شخصية ستكون في عيد الهالوين ؟,Welche Figur wirst du an Halloween sein?,¿Qué personaje serás en Halloween?,Quel personnage serez-vous à Halloween?,Qual personagem você será no Halloween?,คุณจะเป็นตัวละครตัวไหนในวันฮาโลวีน?,Bạn sẽ là nhân vật nào trong Halloween?,萬聖節你會扮演哪個角色？,,,,,,,,,
Pick a Candy to Reveal Your Hidden Personality!,Pick a Candy to Reveal Your Hidden Personality!,あなたの隠された個性を明らかにするためにキャンディーを選んでください!,اختر حلوى لتكشف عن شخصيتك المخفية!,"Wählen Sie eine Süßigkeit, um Ihre verborgene Persönlichkeit zu enthüllen!",¡Elige un caramelo para revelar tu personalidad oculta!,Choisissez un bonbon pour révéler votre personnalité cachée!,Escolha um doce para revelar sua personalidade oculta!,เลือกขนมเพื่อเปิดเผยบุคลิกที่ซ่อนอยู่ของคุณ!,Chọn một viên kẹo để tiết lộ tính cách tiềm ẩn của bạn!,挑個糖果暴露你隱藏的個性！,,,,,,,,,
Your Halloween Luck: Trick or Treat?,Your Halloween Luck: Trick or Treat?,あなたのハロウィンの運:トリック・オア・トリート?,حظك في الهالوين: خدعة أم حلوى ؟,Ihr Halloween-Glück: Süßes oder Saures?,Tu suerte de Halloween: ¿Truco o trato?,Votre chance d'Halloween : un truc ou un régal?,Sua Sorte de Halloween: Doçura ou Travessura?,โชคฮาโลวีนของคุณ: เคล็ดลับหรือการรักษา?,May mắn Halloween của bạn: Lừa hay đãi?,你的萬聖節好運：不給糖就搗蛋？,,,,,,,,,
What Is the Spirit of Halloween Trying to Tell You?,What Is the Spirit of Halloween Trying to Tell You?,ハロウィーンの精神はあなたに何を伝えようとしていますか?,ما الذي تحاول روح الهالوين إخبارك به ؟,Was Versucht der Geist von Halloween es Ihnen zu sagen?,¿Qué está tratando de decirte el espíritu de Halloween?,Qu'est-ce que l'esprit d'Halloween essaie de vous dire?,O que o espírito do Halloween está tentando lhe dizer?,วิญญาณแห่งวันฮาโลวีนที่พยายามจะบอกคุณคืออะไร?,Tinh thần của Halloween đang cố gắng nói với bạn điều gì?,萬聖節的精神想告訴你什麼？,,,,,,,,,
Each flicker of its light whispers a secret about your destiny.,Each flicker of its light whispers a secret about your destiny.,その光のちらつきは、あなたの運命についての秘密をささやきます。,كل وميض من نوره يهمس بسر عن مصيرك.,Jedes Flackern seines Lichts flüstert ein Geheimnis über dein Schicksal.,Cada parpadeo de su luz susurra un secreto sobre tu destino.,Chaque scintillement de sa lumière murmure un secret sur votre destin.,Cada lampejo de sua luz sussurra um segredo sobre seu destino.,การสั่นไหวของแสงแต่ละครั้งจะกระซิบความลับเกี่ยวกับโชคชะตาของคุณ,Mỗi nhấp nháy ánh sáng của nó thì thầm một bí mật về số phận của bạn.,它的每一次閃爍都在低語你命運的祕密。,,,,,,,,,
A hidden force answers your call…,A hidden force answers your call…,隠された力があなたの呼びかけに答える…,قوة خفية تجيب على مكالمتك...,Eine verborgene Kraft antwortet auf deinen Ruf..,Una fuerza oculta responde a tu llamada...,Une force cachée répond à votre appel,Uma força oculta atende ao seu chamado...,พลังที่ซ่อนอยู่รับสายของคุณ..,Một thế lực tiềm ẩn trả lời cuộc gọi của bạn...,一股隱藏的力量回應了你的召喚…,,,,,,,,,
"Sweet, dark, or dangerously magical…","Sweet, dark, or dangerously magical…",甘い、暗い、または危険な魔法のような...,حلوة ، مظلمة ، أو سحرية بشكل خطير...,"Süß, dunkel oder gefährlich magisch..","Dulce, oscuro o peligrosamente mágico...","Doux, sombre ou dangereusement magique","Doce, sombrio ou perigosamente mágico...",หวาน มืด หรือมีมนต์ขลังอันตราย..,"Ngọt ngào,  tối hoặc ma thuật nguy hiểm...",甜美、黑暗或危險的魔法…,,,,,,,,,
